,,,,,,,,,,1.00,2,3,4,5,6,7,8,9,10,,
,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ｅ　教育   E. Education,,,,,,,,,,,
,,,,,,,,,,41,42,43,44,45,46,47,48,49,50,,
,,,,,,,,市区町村,Municipalities,幼稚園数,"幼稚園
在園者数",小学校数,"小学校
教員数","小学校
児童数",中学校数,"中学校
教員数","中学校
生徒数","高等
学校数","高等学校
生徒数","市区
町村
ｺｰﾄﾞ",
,,,,,,,,,,Number of kindergartens,Number of kindergarten pupils,Number of elementary schools,Number of elementary school teachers,Number of elementary school students,Number of lower secondary schools,Number of lower secondary school teachers,Number of lower secondary school students,Number of upper secondary schools,Number of upper secondary school students,,
,,,,,,,,,,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E4101,E4501,,
,,,,,,,,,,園:number of kindergartens,人:person,校:number of schools,人:person,人:person,校:number of schools,人:person,人:person,校:number of schools,人:person,,
,,,,,,,,,,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,,
303  ,01000       ,EF          ,  ,,1,,01   ,北海道　　　,Hokkaido,347,"33,715",966,"18,900","227,372",573,"11,390","120,587",272,"112,146",01   ,
303  ,01100       ,EF          ,  ,,2,,01100,札幌市　　　　,Sapporo-shi,91,"13,620",202,"5,191","89,401",107,"3,074","45,745",51,"41,303",01100,
303  ,01101       ,EF          ,  ,,3,,01101,  中央区　　　　,  Chuo-ku,13,"1,371",16,524,"9,835",11,298,"4,320",8,"6,360",01101,
303  ,01102       ,EF          ,  ,,4,,01102,  北区　　　　　,  Kita-ku,12,"2,150",32,817,"14,679",17,518,"7,694",9,"7,567",01102,
303  ,01103       ,EF          ,  ,,5,,01103,  東区　　　　　,  Higashi-ku,8,"1,452",28,714,"11,812",15,439,"6,322",6,"4,857",01103,
303  ,01104       ,EF          ,  ,,6,,01104,  白石区　　　　,  Shiroishi-ku,6,"1,073",20,515,"8,632",8,265,"4,239",3,"2,171",01104,
303  ,01105       ,EF          ,  ,,7,,01105,  豊平区　　　　,  Toyohira-ku,12,"2,249",23,576,"9,875",11,314,"4,674",6,"6,657",01105,
303  ,01106       ,EF          ,  ,,8,,01106,  南区　　　　　,  Minami-ku,12,941,19,370,"5,722",10,232,"2,930",5,"3,412",01106,
303  ,01107       ,EF          ,  ,,9,,01107,  西区　　　　　,  Nishi-ku,11,"2,010",20,573,"10,248",10,324,"5,312",3,"2,391",01107,
